epoch,acc,loss,val_acc,val_loss
0,0.256857955,2.198190445,0.298409091,2.103291831
1,0.333880682,1.891319289,0.381363636,1.706198554
2,0.379664773,1.731035875,0.375909091,1.754729809
3,0.395903409,1.688346553,0.395,1.67458516
4,0.397460227,1.693054693,0.405909091,1.677623438
5,0.402659091,1.678967817,0.412272727,1.683213945
6,0.410204545,1.665681355,0.4075,1.658854675
7,0.419579545,1.592652676,0.415227273,1.588158716
8,0.423892045,1.567902741,0.426136364,1.578909861
9,0.429863636,1.559060363,0.429090909,1.562697649
10,0.432323864,1.579137243,0.427272727,1.625171317
11,0.4309375,1.607775,0.420681818,1.64649926
12,0.436244318,1.576323334,0.422727273,1.649237997
13,0.439977273,1.563525674,0.429090909,1.63231552
14,0.445727273,1.549636651,0.439545454,1.591882127
15,0.452670455,1.530959778,0.440227273,1.575768797
16,0.455931818,1.504385606,0.443636364,1.533170959
17,0.464022727,1.470915494,0.444090909,1.530575155
18,0.465051136,1.486764619,0.439545455,1.578042731
19,0.458994318,1.522565144,0.435,1.602599862
20,0.453085227,1.533304536,0.440454545,1.652867191
21,0.446130682,1.591539081,0.419318182,1.647502528
22,0.438522727,1.607038522,0.402045454,1.730701654
23,0.421789773,1.6270348,0.423636364,1.628955558
24,0.433284091,1.59896715,0.416818182,1.71796411
25,0.433982955,1.604120134,0.430227273,1.450393319
26,0.455636364,1.393499463,0.445,1.436860086
27,0.462755682,1.37329126,0.443636364,1.432317645
28,0.470301136,1.357008985,0.452954545,1.434185554
29,0.479335227,1.337938354,0.4525,1.423833148
30,0.487647727,1.315660351,0.450909091,1.445274741
31,0.499244318,1.288782945,0.445909091,1.452299679
32,0.511198864,1.257481781,0.434318182,1.500004072
33,0.525255682,1.220559077,0.435454545,1.517373838
34,0.541431818,1.178699957,0.427954546,1.579049582
35,0.558142045,1.133831997,0.4275,1.608370462
36,0.574704545,1.090068386,0.410681818,1.695056098
37,0.592903409,1.042294564,0.413181818,1.731102987
38,0.611340909,0.997672949,0.406363636,1.805793392
39,0.626625,0.951705857,0.408181818,1.881033134
40,0.6450625,0.905550924,0.395227273,1.956078216
41,0.659017045,0.866260202,0.396590909,1.999547317
42,0.6744375,0.827444405,0.395681818,2.131249432
43,0.688028409,0.791984619,0.403181818,2.126268228
44,0.700403409,0.760126738,0.401818182,2.150405227
45,0.713221591,0.725230809,0.392954545,2.302547656
46,0.724573864,0.695912105,0.400909091,2.332191843
47,0.736198864,0.667043255,0.396590909,2.329949024
48,0.745517045,0.642453261,0.393409091,2.472315155
49,0.753965909,0.618738438,0.392727273,2.481087588
50,0.762488636,0.599009553,0.397272727,2.522637307
51,0.770659091,0.579093695,0.400227273,2.645667796
52,0.777255682,0.559086696,0.396590909,2.639345756
53,0.785477273,0.540138548,0.404545455,2.635661395
54,0.791840909,0.52501058,0.397045455,2.651108222
55,0.798738636,0.505820807,0.391590909,2.6740668
56,0.803318182,0.496767921,0.396363636,2.717534868
57,0.810761364,0.478125723,0.402045455,2.760151472
58,0.814778409,0.464961086,0.393409091,2.830636953
59,0.818795455,0.456160425,0.397045454,2.772669366
60,0.823653409,0.443199797,0.398181818,2.911524149
61,0.828079545,0.431695612,0.377954546,2.947270448
62,0.830721591,0.42651482,0.397045455,2.896084694
63,0.834590909,0.414858687,0.389772727,2.970962666
64,0.838369318,0.407181624,0.394318182,3.022804471
65,0.840835227,0.397966107,0.396363636,3.044038598
66,0.843948864,0.390174075,0.399318182,2.965187159
67,0.847227273,0.383015228,0.392272727,3.08455754
68,0.850488636,0.373928353,0.396590909,3.086393579
69,0.853471591,0.365822899,0.388636364,3.098166812
70,0.855505682,0.361188737,0.392954545,3.10818325
71,0.858829545,0.351822536,0.39,3.107539903
72,0.860732955,0.34959412,0.387727273,3.213315517
73,0.862943182,0.342318889,0.386590909,3.284584223
74,0.865619318,0.335623027,0.395227273,3.320417716
75,0.866488636,0.333394671,0.386590909,3.179452512
76,0.868835227,0.327605503,0.395,3.217636683
77,0.870920455,0.323015448,0.397954545,3.318072112
78,0.8734375,0.31568684,0.388181818,3.30241281
79,0.874267045,0.31340597,0.398636364,3.247350017
80,0.876272727,0.310273143,0.387045455,3.372169997
81,0.878613636,0.301880433,0.391363636,3.329473201
82,0.878982955,0.300362188,0.389318182,3.314727991
83,0.881636364,0.295522171,0.384772727,3.417410357
84,0.882772727,0.290030074,0.390454545,3.456488641
85,0.885215909,0.286197731,0.388181818,3.548425954
86,0.886045455,0.283215083,0.383636364,3.5249459
87,0.886261364,0.281779603,0.396818182,3.41196642
88,0.887943182,0.277255408,0.387272727,3.408933099
89,0.889647727,0.271336655,0.384772727,3.480813068
90,0.890920455,0.270474861,0.395909091,3.543977022
91,0.892801136,0.266229218,0.387954545,3.471361886
92,0.893613636,0.263781625,0.385909091,3.551686742
93,0.894659091,0.260044537,0.395909091,3.40496898
94,0.895034091,0.258868543,0.39,3.57707892
95,0.896659091,0.256248231,0.388409091,3.425918275
96,0.898431818,0.253631547,0.401818182,3.570400404
97,0.899369318,0.248546431,0.3925,3.542973162
98,0.898681818,0.249210496,0.386590909,3.555143105
99,0.900511364,0.245018575,0.390681818,3.511442722
